,id,city,latitude,longitude,name,state,county,is_village
113,403277,Chicago,41.989642,-87.794502,Old Norwood Park,IL,Cook County,0
114,403278,Chicago,41.979114,-87.797282,Union Ridge,IL,Cook County,0
115,403279,Chicago,41.971855,-87.797465,Big Oaks,IL,Cook County,0
116,403280,Chicago,41.962912,-87.841664,Schorsch Forest View,IL,Cook County,0
117,403281,Chicago,41.952028,-87.82792,Irving Woods,IL,Cook County,0
118,403282,Chicago,41.941216,-87.83136,Belmont Terrace,IL,Cook County,0
119,403283,Chicago,41.943447,-87.816538,Belmont Heights,IL,Cook County,0
120,403284,Chicago,41.941744,-87.796409,Schorsch Village,IL,Cook County,0
121,403285,Chicago,41.980973,-87.773154,Gladstone Park,IL,Cook County,0
122,403286,Chicago,41.96442,-87.737612,Mayfair,IL,Cook County,0
123,403287,Chicago,41.942452,-87.737031,Kilbourn Park,IL,Cook County,0
124,403288,Chicago,41.955155,-87.737366,Old Irving Park,IL,Cook County,0
125,403289,Chicago,41.949058,-87.722908,The Villa,IL,Cook County,0
126,403290,Chicago,41.964857,-87.699268,Ravenswood Manor,IL,Cook County,0
127,403291,Chicago,41.953999,-87.693379,Horner Park,IL,Cook County,0
128,403292,Chicago,41.943195,-87.678442,Roscoe Village,IL,Cook County,0
129,403293,Chicago,41.957876,-87.671466,South East Ravenswood,IL,Cook County,0
130,403294,Chicago,41.947809,-87.65553,Wrigleyville,IL,Cook County,0
131,403295,Chicago,41.943076,-87.640085,Lake View East,IL,Cook County,0
132,403296,Chicago,41.93047,-87.676095,Lathrop Homes,IL,Cook County,0
133,403297,Chicago,41.894402,-87.650417,River West,IL,Cook County,0
134,403298,Chicago,41.903617,-87.654007,Goose Island,IL,Cook County,0
135,403299,Chicago,41.890333,-87.611529,Streeterville,IL,Cook County,0
136,403300,Chicago,41.891747,-87.63743,River North,IL,Cook County,0
137,403301,Chicago,41.907443,-87.637414,Old Town,IL,Cook County,0
138,403302,Chicago,41.900126,-87.640933,Cabrini Green,IL,Cook County,0
139,403303,Chicago,41.90595,-87.629635,Gold Coast,IL,Cook County,0
140,403304,Chicago,41.914799,-87.632214,Old Town Triangle,IL,Cook County,0
141,403305,Chicago,41.914481,-87.656148,Ranch Triangle,IL,Cook County,0
142,403306,Chicago,41.921239,-87.661377,Sheffield Neighbors,IL,Cook County,0
143,403307,Chicago,41.928963,-87.65616,Wrightwood Neighbors,IL,Cook County,0
144,403308,Chicago,41.92919,-87.639256,Park West,IL,Cook County,0
145,403309,Chicago,41.928816,-87.66584,West De Paul,IL,Cook County,0
146,403310,Chicago,41.90336,-87.663025,Noble Square,IL,Cook County,0
147,403311,Chicago,41.899625,-87.67231,East Ukrainian Village,IL,Cook County,0
148,403312,Chicago,41.899466,-87.68205,Ukrainian Village,IL,Cook County,0
149,403313,Chicago,41.889185,-87.645521,Fulton River District,IL,Cook County,0
150,403314,Chicago,41.92109,-87.697875,Palmer Square,IL,Cook County,0
151,403315,Chicago,41.931487,-87.744178,Kelvin Park,IL,Cook County,0
152,403316,Chicago,41.943688,-87.731297,South Old Irving Park,IL,Cook County,0
153,403317,Chicago,41.931613,-87.734376,Belmont Gardens,IL,Cook County,0
154,403318,Chicago,41.902354,-87.735967,West Humboldt Park,IL,Cook County,0
155,403319,Chicago,41.87739,-87.71082,Fifth City,IL,Cook County,0
156,403320,Chicago,41.878769,-87.646994,Greektown,IL,Cook County,0
157,403321,Chicago,41.871257,-87.67949,Tri-Taylor,IL,Cook County,0
158,403322,Chicago,41.880646,-87.641517,West Loop Gate,IL,Cook County,0
159,403323,Chicago,41.909213,-87.760686,North Austin,IL,Cook County,0
160,403324,Chicago,41.919747,-87.760868,Hanson Park,IL,Cook County,0
161,403325,Chicago,41.916147,-87.790697,Galewood,IL,Cook County,0
162,403326,Chicago,41.868277,-87.769192,The Island,IL,Cook County,0
